chr,pos,value
12,113766931,-2.016312298
19,8295784,-2.01625001
7,2482441,-2.015915825
6,5455112,-2.015466398
12,14688939,-2.014741305
3,57627591,-2.014070865
3,182734819,-2.014050829
16,79033434,-2.013399483
4,3003904,-2.013288173
22,25976778,-2.013061403
2,109294154,-2.010601292
17,76167123,-2.007685174
2,110749178,-2.006678492
12,31755728,-2.005719026
4,57788042,-2.00380403
4,47882955,-2.003150483
17,28191765,-2.002554368
11,12870661,-2.000828758
19,36385880,-2.000746461
3,170585468,-1.999900046
6,80130518,-1.999650809
1,149675143,-1.998689888
22,18897646,-1.997816502
15,85176173,-1.997419332
16,75357367,-1.996767613
14,103596777,-1.995661156
14,21511976,-1.995658888
19,15291118,-1.995182463
16,88901760,-1.994968166
1,52005641,-1.994875952
17,43491531,-1.994482132
12,104420361,-1.994283082
11,70168973,-1.992016539
1,229456992,-1.989800178
16,88777332,-1.989320563
9,33910363,-1.989268638
19,18547154,-1.989153587
11,59395618,-1.98899905
14,75380378,-1.987810828
5,138858819,-1.984339119
17,792781,-1.982715094
16,28973106,-1.982673362
17,6929974,-1.980736609
21,38177435,-1.980525681
7,143096683,-1.980436234
16,1645428,-1.97931834
5,180744285,-1.979080411
8,18852625,-1.978959569
2,122289139,-1.977537049
11,133363,-1.976879974
7,30569288,-1.976382216
19,55687188,-1.975740638
17,48987295,-1.975424707
16,4084787,-1.97187867
11,67199401,-1.971849949
17,80202639,-1.971174315
5,10720363,-1.970987074
5,134375132,-1.970067285
16,84216063,-1.969175696
11,794395,-1.968472567
12,53563291,-1.965834129
10,104488772,-1.965660993
16,31510711,-1.964919068
11,67177154,-1.964831345
19,50865410,-1.963488177
1,33822399,-1.962285058
14,73525631,-1.959141408
19,12327206,-1.958869386
1,44411132,-1.958822517
8,104240109,-1.958583999
12,121705804,-1.957496032
1,8391056,-1.957433507
2,220471877,-1.956839828
17,7402809,-1.956798222
16,1207475,-1.956176735
16,370056,-1.955663193
10,675886,-1.955010175
16,84530153,-1.954830527
19,5061365,-1.954043463
19,54625806,-1.953770563
22,39926979,-1.953384937
14,97060584,-1.952477181
15,59108699,-1.952426612
14,94850057,-1.952395378
19,58320745,-1.951969983
22,41979396,-1.951385148
5,139719322,-1.950835404
1,212531227,-1.9507132
3,50372815,-1.950434794
11,36292871,-1.94940962
10,129794722,-1.949402127
16,68437411,-1.948199962
8,123824370,-1.947324756
7,97862749,-1.946645845
16,30771387,-1.946142713
3,52325188,-1.939210499
21,43904530,-1.938686835
3,10348838,-1.938129965
10,133997097,-1.937256377
8,22122382,-1.936851729
1,44184038,-1.933364465
5,65092788,-1.932387791
19,44084534,-1.932345658
17,72233904,-1.932285643
16,10648417,-1.931675786
8,74239321,-1.930580563
17,44875196,-1.930159472
17,74482422,-1.929771019
15,72298576,-1.929555157
17,80701262,-1.929184081
3,121365010,-1.927133886
3,9259175,-1.925096966
1,46087722,-1.923584923
9,46686783,-1.923143725
17,79050090,-1.922801213
13,114545284,-1.92220187
1,26626336,-1.921907037
3,168007678,-1.921134962
9,126254799,-1.920577402
4,79222073,-1.918790577
2,111137367,-1.91750838
1,22388191,-1.91718673
14,100172139,-1.916510555
17,40343674,-1.916187677
3,61915265,-1.915577044
8,81037496,-1.915536956
22,20755575,-1.915358483
19,19747380,-1.913229076
15,86269902,-1.912886647
1,15835178,-1.912373485
20,18667196,-1.91237218
2,97490815,-1.912288123
3,125576999,-1.911641385
2,128242295,-1.90925523
16,3175463,-1.907134381
12,112037681,-1.906000813
16,67272425,-1.905917414
2,241513005,-1.905846683
19,17755769,-1.905720078
19,59007329,-1.905332709
15,50787746,-1.90388083
12,49311758,-1.903762912
17,43474570,-1.902838296
16,53483081,-1.900272296
16,70501250,-1.900150897
1,54752061,-1.899332405
17,435098,-1.898501872
16,12679757,-1.898293696
11,12831133,-1.897780864
7,44116992,-1.897363773
16,1836047,-1.897217451
15,99349979,-1.89651321
15,24461466,-1.895956861
17,46272595,-1.895290567
17,80115021,-1.893791482
14,24571534,-1.893463404
22,43029710,-1.892884525
4,106060106,-1.892846331
1,155109574,-1.892513588
16,88816685,-1.891733715
15,86167707,-1.891606311
11,67266486,-1.890467397
11,19536940,-1.886596099
11,73690032,-1.884419057
11,119063913,-1.881831622
11,65316338,-1.87930264
2,47758507,-1.878990553
19,39312334,-1.878073645
6,33252094,-1.877760905
15,43680356,-1.877705595
7,100444536,-1.876774995
11,72414085,-1.875795153
11,18745099,-1.875404172
19,2097986,-1.874689087
19,37759630,-1.87449477
3,5023904,-1.873238964
16,774768,-1.873047783
7,45124275,-1.872914415
18,19242052,-1.872138225
19,11222265,-1.87048693
18,24136119,-1.868158566
11,30448957,-1.867417845
19,47347821,-1.866048668
2,74758488,-1.865791908
1,43886937,-1.865475683
22,50631185,-1.864878625
7,65957318,-1.864702671
8,62191960,-1.864195342
4,2818787,-1.863032163
16,67518185,-1.859138862
17,27219923,-1.858723236
5,176792220,-1.85727445
11,65299361,-1.857137939
16,9058705,-1.856435118
11,70231473,-1.85404703
17,80440619,-1.853399934
1,204246604,-1.852443387
15,81635548,-1.852287191
12,48201710,-1.851699167
11,77429106,-1.851174603
17,1543096,-1.849647911
22,30763635,-1.848705092
19,1630947,-1.847934339
11,2905777,-1.847420141
1,44437356,-1.84441878
14,24777469,-1.842114852
2,216195513,-1.84150667
19,18642932,-1.840515483
1,43306222,-1.840193605
17,43596351,-1.839728514
12,2388522,-1.839212532
5,54560395,-1.838881319
17,76900225,-1.837972087
1,44442063,-1.836797205
5,34744537,-1.836437659
17,34875380,-1.836311371
7,149755677,-1.836200935
20,10163653,-1.835662959
6,125512874,-1.835593843
22,51063894,-1.835415006
4,989550,-1.835142605
1,6389390,-1.833496982
8,120243219,-1.832613553
19,45863635,-1.832419674
3,136570732,-1.832293538
6,32810487,-1.831424492
17,42195621,-1.830864255
15,86188516,-1.830378543
3,14918182,-1.827142852
11,64078629,-1.827082233
1,154310906,-1.826802757
14,78333890,-1.826428071
19,10476280,-1.825804065
17,64403579,-1.824587626
11,854962,-1.824233648
19,10332990,-1.823881342
2,242916130,-1.823553591
12,123435847,-1.823436835
1,1245502,-1.822027636
2,139217561,-1.82081339
3,55645881,-1.820720604
11,71806605,-1.820282577
16,89754958,-1.819118674
3,38039114,-1.818783599
10,81937986,-1.815766127
18,71939890,-1.815240102
3,39164773,-1.810978964
2,202125300,-1.81057158
22,38462013,-1.810023677
14,104191036,-1.809793832
3,38060120,-1.808707814
19,13042723,-1.807367659
17,19283945,-1.806224181
9,137635153,-1.806127414
11,20395280,-1.805407889
22,42228944,-1.80216841
3,183686762,-1.802021786
19,14563272,-1.80015843
11,675474,-1.800111933
17,27061694,-1.799861921
3,113308315,-1.79949503
17,79954982,-1.799368551
12,1494947,-1.798883498
6,4999631,-1.798810503
2,202013776,-1.798458771
17,76724254,-1.798425297
11,61110724,-1.798056718
9,136221081,-1.797513551
16,2053739,-1.796092846
8,21997498,-1.795786299
5,43043584,-1.794708115
19,52794603,-1.793301885
19,11291705,-1.791451769
22,25262890,-1.791017379
12,70970925,-1.790929199
22,50943755,-1.7905822
19,40780391,-1.790051333
11,3050497,-1.789757129
10,14041670,-1.78973381
1,27674467,-1.78964792
19,35996341,-1.789637834
22,50638247,-1.788949186
1,44169622,-1.788065974
19,36272579,-1.787858594
16,67262093,-1.786056513
2,27584801,-1.785399821
14,89823836,-1.784815469
19,49128261,-1.784435004
17,30758923,-1.784089931
11,700228,-1.784065447
17,73675800,-1.784010048
16,88877049,-1.783903438
15,72607671,-1.783154341
14,102731187,-1.78250509
19,19450526,-1.782014325
19,1881177,-1.781015779
4,186301980,-1.778603485
1,95664156,-1.778476
17,72958049,-1.77797115
19,50357184,-1.777441846
15,40757658,-1.777179157
16,24822916,-1.776805341
14,60386599,-1.77546466
17,73815516,-1.774214042
9,44403103,-1.772467259
16,1438979,-1.771421162
15,74861995,-1.771141752
11,66041649,-1.770932504
9,130877231,-1.770876704
22,19110529,-1.77068265
1,155290310,-1.769639451
11,500906,-1.768955592
7,4824598,-1.768900601
19,17449636,-1.76768731
5,176870102,-1.767051828
19,40870354,-1.766200615
19,40962721,-1.765522794
16,74970769,-1.762424068
18,8635761,-1.760976144
3,5213802,-1.760590447
17,73754733,-1.760228072
5,131821895,-1.759439861
19,50975026,-1.759169499
19,9403674,-1.758471079
17,5123371,-1.758355644
1,11805500,-1.758179288
2,47223286,-1.756355084
16,89590750,-1.756261367
7,152504648,-1.755135798
11,226194,-1.754361065
22,29501350,-1.753915287
2,55074896,-1.753739918
3,183526408,-1.750722674
13,111785805,-1.750301696
17,45247803,-1.749849376
13,113651372,-1.748304087
18,43607870,-1.747991183
6,32119143,-1.747981125
14,102302820,-1.747341733
11,66366891,-1.74706849
16,2295848,-1.746346694
7,99912572,-1.744789379
10,53005110,-1.744781275
19,2198362,-1.744697162
2,3303674,-1.744595711
15,44681083,-1.744490724
7,65436486,-1.744353333
16,2981573,-1.74298987
3,186722307,-1.742557825
22,20379627,-1.741853902
9,134025572,-1.741853203
2,242922193,-1.739950305
6,43406636,-1.739304433
19,18670477,-1.739144715
11,781875,-1.73892834
16,58152023,-1.738496782
17,45916878,-1.738243573
11,117234628,-1.738233741
7,99085868,-1.738159243
3,47036183,-1.73815
11,65167533,-1.737810572
17,16980209,-1.737767095
22,17581213,-1.737264892
2,27689947,-1.73666877
11,118973127,-1.736224183
15,27497401,-1.735520849
10,90762978,-1.73524222
5,34869249,-1.73503459
22,47158125,-1.734895544
22,17632289,-1.73480299
X,153589949,-1.734376279
3,48338964,-1.734352588
7,131003742,-1.734258058
9,66554600,-1.733834572
16,11967487,-1.73215884
16,29877142,-1.731695922
16,88713625,-1.73092802
12,56873467,-1.730593329
10,71239327,-1.730574803
12,113697622,-1.73010076
11,62639935,-1.729466238
10,134689111,-1.72536453
2,219817988,-1.725257349
11,70263600,-1.724458589
16,695143,-1.724325607
8,144458723,-1.724252138
14,88976599,-1.724027534
13,34185381,-1.723255273
7,72988191,-1.722957566
19,58870167,-1.722879334
10,76773872,-1.721765427
19,3414388,-1.720954169
17,78187618,-1.72067112
14,24609485,-1.72066696
19,17598277,-1.718571905
11,18626568,-1.718074684
11,64673364,-1.71798529
12,124068214,-1.717141225
2,38829030,-1.716910382
11,72540036,-1.716825405
11,78757934,-1.716817698
3,194331410,-1.716674818
12,14864743,-1.714270464
1,229576399,-1.7132342
17,40815173,-1.713065244
3,150480024,-1.712610911
9,35781294,-1.712391574
12,49970955,-1.712062153
17,37060405,-1.711061258
8,42393059,-1.71083498
5,457662,-1.710724051
11,67234283,-1.710482696
19,12782130,-1.710281667
22,20028993,-1.710083136
7,2342679,-1.709141309
1,60237636,-1.708800656
11,66101012,-1.708734647
1,3558328,-1.708709977
12,112695749,-1.708049921
14,105464465,-1.70786367
21,47804859,-1.707585692
13,98948421,-1.707111582
19,51011932,-1.706259814
3,156996033,-1.705802803
8,144697503,-1.705736475
5,176768708,-1.704819324
6,33242037,-1.704691591
21,44520381,-1.70413373
12,132242051,-1.703354427
21,38563097,-1.702493837
19,3556273,-1.700555392
11,469830,-1.699646643
12,6776830,-1.699291625
18,46733716,-1.698087059
7,150726354,-1.697951006
12,70584951,-1.697855171
1,45277705,-1.697828435
16,2279655,-1.695782099
15,66615646,-1.695229303
5,138367614,-1.693266714
12,120598760,-1.69320916
9,35092638,-1.693190444
3,120140620,-1.693012386
7,5405733,-1.692900934
4,77530329,-1.692585678
19,728641,-1.692508024
2,71299204,-1.69237209
19,17837688,-1.691832083
17,4450559,-1.691373729
3,47644686,-1.690770904
16,66642786,-1.6897356
1,16056302,-1.688296092
14,64890735,-1.688227445
9,97586804,-1.685896907
3,197902561,-1.685716553
6,147270979,-1.685113596
11,72336410,-1.684954945
17,55159022,-1.684770662
1,24095824,-1.684398769
2,74650843,-1.684139317
11,1447524,-1.682227625
16,31197279,-1.682076258
19,42410765,-1.681425956
12,110191642,-1.680725994
15,52424600,-1.680238173
20,32253581,-1.68019254
2,220105764,-1.678448676
16,72050720,-1.67819651
6,109244742,-1.677962478
22,39013379,-1.677019564
14,100730930,-1.676035674
12,109082128,-1.675074048
22,24179002,-1.673755029
11,129749508,-1.67313372
22,37453604,-1.672944977
11,73049735,-1.672707982
11,124760991,-1.672659056
2,204329600,-1.672252852
6,43086731,-1.672133135
14,92585363,-1.672057059
19,17878952,-1.672023646
3,65895231,-1.671848075
15,40712916,-1.670447903
7,50759459,-1.670112007
16,15703375,-1.669858717
1,2049371,-1.669714331
15,42227863,-1.669271399
17,78303625,-1.668894155
16,68250939,-1.668743098
5,139094412,-1.667110104
12,2441030,-1.666953091
1,8489801,-1.666919949
9,139700839,-1.666734849
5,147705608,-1.666619456
8,145607623,-1.666571728
10,135083139,-1.663710287
19,50315379,-1.662327021
11,1782647,-1.661201543
21,43296293,-1.660383144
11,1506582,-1.659277424
11,71199654,-1.658849402
19,46201494,-1.65733155
16,90098710,-1.656734303
15,85191786,-1.656550961
3,58189204,-1.656455848
6,28047739,-1.656419127
6,7287684,-1.65632255
14,105227134,-1.654842613
10,127436987,-1.653624331
17,19261181,-1.653606753
11,8663498,-1.653563653
2,98276500,-1.653413243
5,80548641,-1.653316949
2,62104392,-1.653020922
11,134129569,-1.651425119
7,26870769,-1.650557742
6,16762126,-1.64998429
19,11036400,-1.649208933
1,155221135,-1.649163951
7,87002054,-1.648334998
1,160286126,-1.648200169
22,20896059,-1.64812796
2,236721588,-1.647583413
19,56802978,-1.646016171
15,92556295,-1.645968522
8,144662323,-1.645924442
13,101291764,-1.645906233
5,69330007,-1.645757368
15,44850706,-1.645637075
1,6106389,-1.645404861
11,65374039,-1.644216119
1,43616445,-1.643983368
9,140136912,-1.643822165
19,35130310,-1.642942762
15,50790166,-1.64161811
1,151682085,-1.641138751
11,68837218,-1.638791156
5,31875277,-1.63798329
19,47767223,-1.637785726
X,1516807,-1.637748176
7,150812220,-1.635850745
16,74348383,-1.635253789
1,113237776,-1.634253542
17,45704006,-1.632765234
17,79864090,-1.632493323
17,73504003,-1.631630469
19,38801833,-1.631259524
15,85229646,-1.631073044
19,325186,-1.628276552
X,153644959,-1.627525615
5,153767203,-1.626166778
11,47292934,-1.625954744
3,5245486,-1.62571404
17,74417410,-1.624968006
12,122478638,-1.624571414
16,71956226,-1.623779387
5,171542233,-1.620134072
3,52392421,-1.618901888
20,31436498,-1.618868658
19,11538937,-1.618784063
5,176479339,-1.618624697
9,139931949,-1.617697839
10,27232799,-1.616867111
3,172232297,-1.616476626
7,5517438,-1.616192458
13,114126833,-1.6152868
22,29660019,-1.614957605
15,44707112,-1.614878479
9,134067444,-1.614715183
5,177567781,-1.614259079
11,64027808,-1.613881447
17,79244073,-1.613413819
2,242211577,-1.613229527
15,83416008,-1.612189744
17,7247322,-1.611163329
3,118977423,-1.610544055
1,150469982,-1.610425328
3,47438716,-1.610298375
22,38073714,-1.61006061
17,40389955,-1.60983369
2,27716431,-1.60971114
22,50954273,-1.608647436
10,75603957,-1.606270405
17,47791559,-1.603211114
14,73739839,-1.602700804
8,13157018,-1.602492122
17,21061627,-1.602398643
10,103412737,-1.60125955
12,58145653,-1.601157523
1,22206264,-1.60077239
16,322140,-1.600153521
11,772354,-1.600143874
5,132202987,-1.598822843
8,130908357,-1.598671548
7,134882453,-1.598121565
6,32974672,-1.597672629
16,75493032,-1.596484387
16,4376504,-1.595216736
8,22046044,-1.59474225
19,5679669,-1.594189226
19,54966641,-1.594120467
4,99485649,-1.592685176
19,1414317,-1.592363988
3,11650440,-1.592011725
19,16524473,-1.591949826
22,50355944,-1.591711708
16,3595108,-1.590778892
7,142995048,-1.589443292
19,47198958,-1.589259815
2,9553640,-1.588488487
5,175782190,-1.587457166
18,43974937,-1.58728705
8,11713495,-1.586944574
14,68741715,-1.58601499
2,112990907,-1.585149889
2,220251506,-1.584697606
2,86290308,-1.583722756
1,174913741,-1.581842117
1,153910574,-1.581614078
17,28101487,-1.581172719
16,57154163,-1.578907691
8,145194209,-1.578545972
2,234020613,-1.578332857
5,179754038,-1.578291512
19,36637116,-1.577813308
19,3729459,-1.576374929
11,116646209,-1.575541844
9,116283514,-1.574874864
19,39925217,-1.574718847
11,836337,-1.574218614
22,21983365,-1.574159362
3,128982531,-1.572835202
22,41582027,-1.572796364
1,147894429,-1.572553369
12,56213683,-1.572322964
4,4480637,-1.571047188
3,50381412,-1.566940952
18,8769217,-1.565367495
22,36730695,-1.565201849
17,48965569,-1.564036825
4,146421174,-1.563749655
2,47131115,-1.563350496
15,28461742,-1.562594786
14,62200045,-1.562435906
15,34148055,-1.562182095
12,49497801,-1.561808956
21,43258988,-1.561028303
11,43365572,-1.559040513
19,19765254,-1.558785041
17,36861123,-1.558092362
7,99761620,-1.557662395
18,72175708,-1.557027541
4,146757501,-1.555941684
22,31683049,-1.554573426
4,2750739,-1.554515267
16,161566,-1.55360526
21,27539275,-1.551830298
7,97975671,-1.551081533
15,74906736,-1.550243476
1,235333820,-1.54924188
19,2233852,-1.548712158
4,16182652,-1.547864615
6,31932194,-1.546082267
11,63992498,-1.546033416
19,17255968,-1.545632098
19,36514903,-1.545099949
17,80019572,-1.543973005
11,58320018,-1.541796523
19,19239650,-1.541758754
1,9740048,-1.540943442
4,10097268,-1.5406941
9,131816630,-1.540560532
21,44341334,-1.539976172
16,31049253,-1.539775143
11,66244332,-1.539763483
14,24676235,-1.539333349
3,71621507,-1.538997262
16,67853359,-1.538060968
2,219525826,-1.536084343
5,132162211,-1.535688294
16,16140182,-1.53507335
11,61650257,-1.535005397
7,100033546,-1.534719572
5,177647645,-1.534469125
18,47800698,-1.534261926
12,7296917,-1.533746609
8,145581363,-1.533246578
2,74771179,-1.532954958
6,43171119,-1.532452446
3,50173486,-1.532370777
20,49191045,-1.532136204
17,45912036,-1.531873337
17,27896622,-1.53010544
16,1510258,-1.529776097
12,25304725,-1.529408406
11,1987130,-1.528854203
9,96945740,-1.528266257
15,25776958,-1.527194242
5,80545660,-1.526618878
7,128041318,-1.525207342
2,232151404,-1.525004364
4,1224488,-1.524835997
3,130907501,-1.524504225
12,102127838,-1.523948799
2,27284294,-1.523573394
1,31812780,-1.523417815
4,758568,-1.523200826
21,44134682,-1.520976555
19,4178353,-1.520908826
